reference_id,name_or_id,original_smiles,canonical_smiles,parent_smiles,IC50_IKr,IC50_INa,IC50_ICaL,ic50_source,risk_label,risk_label_source,assay_context,reference,record_version
mol_0004f0ee29e467a1,,CN1CC2(C1)CN(Cc1cccc(Cl)c1CNc1cc(F)c(S(=O)(=O)Nc3cscn3)cc1Cl)C2,CN1CC2(C1)CN(Cc1cccc(Cl)c1CNc1cc(F)c(S(=O)(=O)Nc3cscn3)cc1Cl)C2,CN1CC2(C1)CN(Cc1cccc(Cl)c1CNc1cc(F)c(S(=O)(=O)Nc3cscn3)cc1Cl)C2,,8402.0,,INa,,,,,
mol_0007224442f46d5a,,CN(C1CCN(C)CC1)C(=O)N1CC(=C[C@@]1(CO)c1ccccc1)c1cc(F)ccc1F,CN1CCC(N(C)C(=O)N2CC(c3cc(F)ccc3F)=C[C@@]2(CO)c2ccccc2)CC1,CN1CCC(N(C)C(=O)N2CC(c3cc(F)ccc3F)=C[C@@]2(CO)c2ccccc2)CC1,14600.0,,,IKr,,,,,
mol_000870d55d2ef975,,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,3235.94,,,IKr,,,,,
mol_0008bcb533f4801a,,CC(C)(C)[C@@H](CO)NC(=O)c1nn(c2[C@H]3C[C@H]3Cc12)-c1c[n+]([O-])ccn1,CC(C)(C)[C@@H](CO)NC(=O)c1nn(-c2c[n+]([O-])ccn2)c2c1C[C@@H]1C[C@H]21,CC(C)(C)[C@@H](CO)NC(=O)c1nn(-c2c[n+]([O-])ccn2)c2c1C[C@@H]1C[C@H]21,30000.0,,,IKr,,,,,
mol_001ad6236ac90a58,,NC(=O)c1ccc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,NC(=O)c1ccc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,NC(=O)c1ccc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,8500.0,,,IKr,,,,,
mol_001e12c19f6de52a,,C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccn1,c1ccc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)[C@@H](C4CCOCC4)N3)n2)nc1,c1ccc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)[C@@H](C4CCOCC4)N3)n2)nc1,4026.0,,,IKr,,,,,
mol_0021c8bb719de4eb,,Cc1ncc(cn1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F,Cc1ncc(-c2ccc(C(C(=O)NO)c3ccccc3F)cc2)cn1,Cc1ncc(-c2ccc(C(C(=O)NO)c3ccccc3F)cc2)cn1,10000.0,,,IKr,,,,,
mol_0023f123cdbee99d,,COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,10000.0,,,IKr,,,,,
mol_00274e7e1ced06da,,Clc1cnc(NC(=O)C(=N\N2CCCC2)\c2ccc(cc2)S(=O)(=O)C2CC2)s1,O=C(Nc1ncc(Cl)s1)/C(=N/N1CCCC1)c1ccc(S(=O)(=O)C2CC2)cc1,O=C(Nc1ncc(Cl)s1)/C(=N/N1CCCC1)c1ccc(S(=O)(=O)C2CC2)cc1,16700.0,,,IKr,,,,,
mol_0029253ee7ef733e,,Clc1ccc(-n2cc(NCCN3CCCCC3)nn2)cc1Cl,Clc1ccc(-n2cc(NCCN3CCCCC3)nn2)cc1Cl,Clc1ccc(-n2cc(NCCN3CCCCC3)nn2)cc1Cl,1700.0,,,IKr,,,,,
