smiles,IC50_nM
CO\C(O)=C1\C(C(C(=O)OCC(C)C)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O,0.0081
CCCCCCCCO\C(O)=C1\C(C(C(=O)OCC)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O,0.01
CO\C(O)=C1\C(C(C(=O)OCC(C)C)=C(C)N=C1C)c1cccc(c1)C#N,0.013
CO\C(O)=C1\C(C(C(=O)OCC(C)C)=C(C)N=C1C)c1ccccc1[N+]([O-])=O,0.015
CCO\C(O)=C1\C(C(C(=O)OCCO\C(O)=C2\C(C(C(=O)OC(C)C)=C(C)N=C2C)c2cccc(c2)[N+]([O-])=O)=C(C)N=C1C)c1ccc(cc1)[N+]([O-])=O,0.017
CCO\C(O)=C1\C(C(C(=O)OCCCCO\C(O)=C2\C(C(C(=O)OCC)=C(C)N=C2C)c2cccc(c2)[N+]([O-])=O)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O,0.022
CO\C(O)=C1\C(C(C(=O)OCC(C)C)=C(C)N=C1C)c1ccccc1C(F)(F)F,0.027
CCO\C(O)=C1\C(C(C(=O)OCCCCCCCCO\C(O)=C2\C(C(C(=O)OCC)=C(C)N=C2C)c2cccc(c2)[N+]([O-])=O)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O,0.03
CCO\C(O)=C1\C(C(C(=O)OCCCCCCCCCCO\C(O)=C2\C(C(C(=O)OCC)=C(C)N=C2C)c2cccc(c2)[N+]([O-])=O)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O,0.033
CCO\C(O)=C1\C(C(C(=O)OCCCCCCO\C(O)=C2\C(C(C(=O)OCC)=C(C)N=C2C)c2cccc(c2)[N+]([O-])=O)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O,0.045
CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCC,0.046
CCO\C(O)=C1\C(C(C(=O)OCCCCCCCCCCCCO\C(O)=C2\C(C(C(=O)OCC)=C(C)N=C2C)c2cccc(c2)[N+]([O-])=O)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O,0.05
CO\C(O)=C1\C(C(C(=O)OCC(C)C)=C(C)N=C1C)c1cccc(c1)C(F)(F)F,0.14
CCOC(=O)C1=C(C)N=C(C)C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,0.15
CCOC(=O)C1=C(C)N=C(C)C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,0.35
CCOC(=O)C1=C(C)N=C(C)C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,1.0
CO\C(O)=C1\C(C(C(=O)OCC(C)C)=C(C)N=C1C)c1ccccc1,0.25
CCO\C(O)=C1\C(C(C(=O)OCCO\C(O)=C2\C(C(C(=O)OCC)=C(C)N=C2C)c2cccc(c2)[N+]([O-])=O)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O,0.39
CO\C(O)=C1\C(C(C(=O)OCC(C)C)=C(C)N=C1C)c1ccc(F)cc1,1.5
CCO\C(O)=C1\C(N(C(=O)OCC)C(=S)N=C1C)c1cccc(Cl)c1Cl,1.5
CCOC(=O)N1C(\C(=C(/O)OC(C)C)C(C)=NC1=S)c1cccc(c1)[N+]([O-])=O,1.7
CCOC(=O)N1[C@@H](\C(=C(/O)OC(C)C)C(C)=NC1=S)c1cccc(c1)[N+]([O-])=O,2.0
COC(=O)C1=C(C)NC(C)=C(C1c1cccc2nonc12)C(=O)OC(C)C,2.2
COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1[N+]([O-])=O)C(=O)OCC(C)C,3.0
COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1[N+]([O-])=O)C(=O)OC,10.0
COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1[N+]([O-])=O)C(=O)OC,22000.0
COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1[N+]([O-])=O)C(=O)OC,22.0
COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1[N+]([O-])=O)C(=O)OC,50.0
COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1[N+]([O-])=O)C(=O)OC,55.0
FC(F)(F)c1cc2nc(CC3CCNCC3)[nH]c2cc1C(F)(F)F,10000.0
FC(F)(F)c1cc2nc(CC3CCNCC3)[nH]c2cc1C(F)(F)F,10000.0
CC1(C)NCCN(CC(=O)NCc2ccc(nc2)C(F)(F)F)C1=O,10000.0
CC1(C)NCCN(CC(=O)NCc2ccc(nc2)C(F)(F)F)C1=O,10000.0
CC(C)(C)NC(=O)Cn1c(CN2CCNC(C)(C)C2=O)nc2c(cc(cc12)C(F)(F)F)C(F)(F)F,10000.0
CC(C)(C)NC(=O)Cn1c(CN2CCNC(C)(C)C2=O)nc2c(cc(cc12)C(F)(F)F)C(F)(F)F,10000.0
CC(C)(C)NC(=O)Cn1c(CC2CCNCC2)nc2c(cc(cc12)C(F)(F)F)C(F)(F)F,10000.0
CC(C)(C)NC(=O)Cn1c(CC2CCNCC2)nc2c(cc(cc12)C(F)(F)F)C(F)(F)F,10000.0
FC(F)(F)c1cc(c2[nH]c(CC(=O)N3CCNCC3)nc2c1)C(F)(F)F,10000.0
FC(F)(F)c1cc(c2[nH]c(CC(=O)N3CCNCC3)nc2c1)C(F)(F)F,10000.0
CC1(C)NCCN(Cc2nc3cc(Cl)c(Cl)cc3[nH]2)C1=O,10000.0
CC1(C)NCCN(Cc2nc3cc(Cl)c(Cl)cc3[nH]2)C1=O,10000.0
