smiles,IC50_nM
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(O[C@@H]2CCCN(Cc3cc(Cl)cc(Cl)c3)C2)cc1F,0.3
Fc1cc(OCC2CCN(CC2)C(c2ccccc2)c2cc(Cl)cc(Cl)c2)c(cc1C(=O)NS(=O)(=O)C1CC1)C1CC1,0.8
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(O[C@@H]2CCCN(Cc3cc(Cl)cc(OC(F)(F)F)c3)C2)cc1F,1.3
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(CC2)C(c2ccccc2)c2cc(Cl)cc(Cl)c2)cc1F,1.5
C[C@@H]1CC[C@H](CN1Cc1ccc(F)cc1Cl)Oc1cc(F)c(cc1C1CC1)C(=O)NS(C)(=O)=O,1.6
COC[C@@](C)(N1CCC(COc2cc(F)c(cc2C2CC2)C(=O)NS(C)(=O)=O)CC1)c1cc(Cl)cc(Cl)c1,1.6
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(CC2)C(c2ccc(F)cc2Cl)C(F)(F)F)cc1F,1.6
C[C@H](N1CCC(COc2cc(F)c(cc2C2CC2)C(=O)NS(C)(=O)=O)CC1)c1cc(Cl)cc(Cl)c1F,1.6
CCS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(CC2)[C@@H](c2cc(Cl)cc(Cl)c2)C(C)(C)OC)cc1F,1.6
Fc1cc(O[C@@H]2CCCN(Cc3ccccc3Cl)C2)c(cc1C(=O)NS(=O)(=O)C1CC1)C1CC1,1.7
C[C@H](N1CCC(C)(COc2cc(F)c(cc2C2CC2)C(=O)NS(C)(=O)=O)CC1)c1cc(Cl)cc(Cl)c1,1.7
CC(C)(N1CCC(COc2cc(F)c(cc2C2CC2)C(=O)NS(C)(=O)=O)CC1)c1cc(Cl)cc(Cl)c1,1.7
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(O[C@@H]2CCCN(Cc3ccc(Cl)cc3Cl)C2)cc1F,1.7
CCS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(CC2)[C@H](c2cc(Cl)cc(Cl)c2)C(C)(C)OC)cc1F,1.7
COC(C)(C)[C@@H](N1CCC(COc2cc(F)c(cc2C2CC2)C(=O)NS(C)(=O)=O)CC1)c1cc(Cl)cc(Cl)c1,1.8
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(O[C@@H]2CCCN(Cc3ccc(F)cc3C(F)(F)F)C2)cc1F,1.9
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(CC2)C(c2cc(Cl)cc(Cl)c2)C(F)(F)F)cc1F,1.9
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3cc(Cl)cc(OC(F)(F)F)c3)CC2)cc1F,1.9
C[C@H](N1CCC[C@H](C1)Oc1cc(F)c(cc1C1CC1)C(=O)NS(C)(=O)=O)c1cc(Cl)cc(Cl)c1,1.9
C[C@H](N1CCC[C@H](C1)Oc1cc(F)c(cc1C1CC1)C(=O)NS(C)(=O)=O)c1cc(Cl)cc(Cl)c1,2.1
CCS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(CC2)C(C)(C)c2cc(Cl)cc(Cl)c2)cc1F,1.9
C[C@@H]1CC[C@H](CN1Cc1ccc(F)cc1Cl)Oc1cc(F)c(cc1C1CC1)C(=O)NS(=O)(=O)C1CC1,1.9
C[C@@H]1CC[C@H](CN1Cc1ccc(F)cc1Cl)Oc1cc(F)c(cc1C1CC1)C(=O)NS(=O)(=O)N1CCC1,1.9
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(CC2)C(c2ccccc2Cl)c2ccccc2Cl)cc1F,2.0
CCC(N1CCC(COc2cc(F)c(cc2C2CC2)C(=O)NS(C)(=O)=O)CC1)c1cc(Cl)cc(Cl)c1,2.0
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3ccccc3C(F)(F)F)CC2)cc1F,5.4
