Medication,Class,RMP,Peak,APD50,APD90,Triangulation,APA,Block_IKr,Block_INa,Block_INaL,Block_ICaL,Block_IKs,Block_IK1,Block_Ito,IC50_IKr,IC50_INa,IC50_ICaL,Bnet
Dronedarone_x_Telbivudine_synth1789,1,-90.74890227635098,32.294570852371436,191.4402622121994,232.5038637539604,40.819768647536904,123.04347312872241,0.3482884754275746,0.48967199063147676,0.0,1.2936051978036316,4.172727825739861,0.0,0.38688855685229406,336594.70982082677,302718.3979337626,52403.35751796129,-0.42690832112147437
Phenytoin_x_Voriconazole_synth4682,1,-90.74921744672126,31.355250866062615,193.5449438555716,233.5944866902258,40.54867295238755,122.10446831278388,1.8349855080567932,7.4260533552959584,0.0,3.2287942174455564,0.8376519038161205,0.0,0.1098035614789263,57455.36644516302,67564.16660791198,74028.34926232617,0.0902266458483667
Voriconazole_x_Amiodarone_synth2802,1,-90.75136780207241,32.123903864735524,183.92775760495618,227.36662449702175,41.31708213192338,122.87527166680793,0.4503559780933559,1.2740014340942227,1.4080695209837344,4.696581683764302,7.665940741166766,0.0,3.6575926263861005,123100.16238329526,105770.24808849068,5370.711658772435,-0.7130609459491954
Ondansetron_x_Ranolazine_synth3965,3,-90.74670043893661,32.328970622973394,210.79363493903105,254.9743578134453,44.69200061210454,123.07567106191001,17.213309824303742,0.6210375685114117,14.308097600479384,1.5951159640406387,1.0937595902540138,0.0002868802027598217,0.0,5270.463497983113,193450.8042846027,70205.9293274489,1.344623356254416
Darunavir_x_Sotalol_synth4464,2,-90.74745449193118,32.35454557045541,195.6877444791238,236.86856998317566,41.482502635052576,123.1020000623866,1.368032177803618,0.9443975206703543,0.0,1.8701322163937686,1.177945977525447,0.14312124077174038,0.4496528543752925,69507.15915654869,107890.66125408698,787723.2446736617,0.6226492192699002
Voriconazole_x_Desipramine_synth2155,1,-90.74931149015784,31.70908834145824,192.2893504238595,234.2814127979804,40.89909187374878,122.45839983161608,2.9994998776301682,0.38886909266922237,0.0,3.12708579122929,0.0,0.0,0.20135466109217015,90703.38994744701,25899.675251568387,48024.7222839069,-0.4102439283110535
Metoprolol_x_Halofantrine_synth4767,3,-90.74665663781298,32.32238954808676,242.33169007589498,290.83980101767395,48.47589108715418,123.06904618589974,23.389987883516127,0.7420479427807067,0.18480613453418737,6.890262663021286,0.05690018052303293,0.007978181069285481,0.11399580374677432,5108.712899482034,596958.475642145,74787996.73866393,3.116576514771481
Sildenafil_x_Moxifloxacin_synth3749,2,-90.74751913400688,32.38178749720161,198.08274862339127,240.7340504285248,41.970732782353565,123.1293066312085,1.3374549893238443,0.5438217640258673,1.0582342891558714,0.2296603970273522,1.1367112451914752,0.003946815014587034,1.023037723427369,191015.9429165727,1688672.183445411,345909.0605719804,0.6021840270753294
Tamoxifen_x_Famotidine _synth1275,4,-90.74782022535432,32.42958157508606,192.85126478567688,233.50403598395746,40.93839175259795,123.17740180044038,1.5625958265596802,0.002092804955819939,0.00453030257199855,0.0,0.025622117898083933,0.0,0.0,800899.2313573186,91418930465.49103,100761223312.84596,5.078586906918564
Sotalol_x_Chlorpromazine_synth3556,2,-90.74655098174351,32.165406102600286,197.5440742756799,238.79697281244424,41.96956493503124,122.9119570843438,5.508761530185345,1.2078379905884098,0.3583818701907765,0.8595994507804451,1.168814401426694,2.4262881742698843,0.4062466172947786,19898.503491864496,95593.63774527212,44167.803160257165,0.5139469780383465
Dofetilide_x_Chlorpheniramine_synth2483,4,-90.74700190853227,32.52988589337576,194.8087858571081,236.20719076585314,41.08285620377515,123.27688780190803,1.3990546252600782,0.0,0.0,0.03760127738688929,0.0,0.004316579127915558,11.07964050492975,673616.8976088701,2227179064.8332696,7785004773.723967,3.7910940365677397
