Medication,Class,RMP,Peak,APD50,APD90,Triangulation,APA,Block_IKr,Block_INa,Block_INaL,Block_ICaL,Block_IKs,Block_IK1,Block_Ito
Ajmaline,1,-90.74563,31.99280522366472,231.9,278.40000000000003,46.50000000000003,122.73843522366472,26.785714285714285,2.641541285381915,0.0,2.1544600992033884,0.0,0.0,4.52955807738978
Amiodarone,1,-90.7575908385011,31.552482202989385,167.5,209.5,42.0,122.31007304149048,0.1826301074668009,4.618864581274923,11.920842873872727,28.36709855142978,8.44293571095511,0.0,16.35236102832591
Astemizole,1,-90.7480240189233,32.42546200042284,192.5,233.4,40.900000000000006,123.17348601934614,0.19859448066219346,0.013041777159500934,0.0,3.382883697305559e-06,0.0,0.0,0.0
Azimilide,1,-90.74636770725067,31.448849358511534,210.0,253.10000000000002,43.10000000000002,122.19521706576221,13.336855737682145,5.1864626416099515,0.0,0.9247027741083224,4.761904761904762,0.0,0.0
Azithromycin,1,-90.74563,32.58183016436243,212.0,255.8,43.80000000000001,123.32746016436244,14.19325141879506,0.0,0.016582048517084152,0.0,0.04578003902502554,0.0,12.870917814817403
Bepridil,1,-90.74826598159883,32.32039792718464,197.70000000000002,239.8,42.099999999999994,123.06866390878348,5.9532302424096315,0.48057443544948575,0.3649551032370968,3.194578896418199,0.5294400770094657,0.0,3.5084481717266723e-07
Chloroquine,1,-90.74563,32.385019715345024,220.5,266.5,46.0,123.13064971534503,20.05101686660623,0.31090536389634826,0.3551626701969409,0.0,0.0,4.7473654792245705,0.0
Chlorpromazine,1,-90.74562999999999,32.193183321067565,196.10000000000002,238.20000000000002,42.099999999999994,122.93881332106756,4.054402630516025,1.2815970553173364,2.1743803787693934,0.6835073115241146,0.6284070260448215,3.055518611172538,0.6725605731508917
Cilostazol,1,-90.74778914963315,32.39807341652253,194.3,235.4,41.099999999999994,123.14586256615567,1.7249893323966026,0.17301922814673396,0.0,0.1777536492036111,0.0,0.0,0.0
Cisapride ,1,-90.74563,32.54924710730425,209.10000000000002,252.70000000000002,43.599999999999994,123.29487710730425,12.297139032959677,0.023243810735049848,0.0,0.04150818727816415,0.07313541993164077,1.272448230022982,10.511684481336035
Clarithromycin,1,-90.74640564324233,32.43455555200935,206.5,249.5,43.0,123.18096119525168,10.804299416201491,0.0,0.0,0.0,0.0,0.0,0.0
Disopyramide,1,-90.7468035076455,32.12587232401026,203.10000000000002,245.4,42.29999999999998,122.87267583165576,8.3692128038834,1.6516632375835356,0.0,0.45255820697456245,5.4477361783778155,0.0,0.0
Dofetilide,1,-90.74639015690903,32.58993768500141,196.0,237.3,41.30000000000001,123.33632784191045,2.4311347321362247,0.0006324515240927507,0.00026554712000870993,0.002159905119687902,0.001999960000799984,0.0,14.275819809541314
Domperidone,1,-90.74749316378363,32.412425755474004,197.0,238.60000000000002,41.60000000000002,123.15991891925763,3.847943111583704,0.10328606672743718,0.0,0.0,0.0,0.0,0.0
Donepezil,1,-90.74807950532285,32.424261935548664,192.4,233.3,40.900000000000006,123.17234144087152,0.1342385673270543,0.017036058271629562,0.0,0.08191815365587357,0.0,0.0,0.0
Dronedarone,1,-90.74855002159866,32.378107104924446,192.10000000000002,233.0,40.89999999999998,123.1266571265231,0.30129968335902246,0.2564833285836421,0.0,1.0020597895674441,0.0,0.0,0.0
Droperidol,1,-90.74562999999999,32.446496679739866,245.20000000000002,293.6,48.400000000000006,123.19212667973986,33.16062176165803,0.012347615215514167,0.0,0.07846834545167201,0.0,0.0,0.0
Erythromycin,1,-90.7462933873759,32.4343719761412,205.9,248.8,42.900000000000006,123.18066536351711,10.518826674044831,0.0,0.0,0.0,0.0,0.0,0.0
Flecainide,1,-90.74563000000002,28.793261982171686,228.3,273.9,45.599999999999966,119.5388919821717,29.531358590642185,18.218419728233517,17.647218710352316,3.0140534176286264,6.751212234240955,0.0,21.427982805514464
Gatifloxacin,1,-90.74697210851284,32.43174798304239,200.4,242.60000000000002,42.20000000000002,123.17872009155522,6.474820143884892,0.0,0.0,0.0,0.0,0.0,0.0
Halofantrine,1,-90.74562999999999,32.395691776229825,272.40000000000003,325.5,53.099999999999966,123.14132177622982,46.869216916758404,0.05190541144091836,0.0,8.48584994738614,0.0,0.0,0.0
Haloperidol,1,-90.74586429039148,32.43475515747281,208.60000000000002,252.0,43.39999999999998,123.18061944786429,12.461059190031152,0.0016231833418137098,0.0,0.1024268315114496,0.0,0.0,0.0
Ibutilide,1,-90.74563,32.46304517513311,332.1,395.1,63.0,123.20867517513312,65.64420839052337,0.041235915504916724,0.0,0.00986158356537896,0.0,0.0,0.0
Levofloxacin,1,-90.7475552701098,32.429565581657506,196.10000000000002,237.5,41.39999999999998,123.17712085176731,3.1092075287830965,0.0,0.0,0.0,0.0,0.0,0.0
Methadone,1,-90.74670083302954,32.37094775730714,202.60000000000002,245.10000000000002,42.5,123.11764859033667,8.119511524990317,0.3435903726580468,0.0,0.07591679913437169,0.0,0.0,0.0
Moxifloxacin,1,-90.74682255362329,32.23776788391253,204.20000000000002,247.10000000000002,42.900000000000006,122.98459043753581,10.079655198693532,1.090404153420344,1.0676546798411153,1.5402954953528978,3.7810304947273203,0.0,1.6150658896043026
Ondansetron,1,-90.74563,32.3714663315247,218.4,263.40000000000003,45.00000000000003,123.1170963315247,19.65016976602435,0.3281363106896007,0.9225397218950805,2.04180053641561,1.1766566086463837,0.0,0.017448927692073516
Procainamide,1,-90.74885907500641,31.663843665059787,214.20000000000002,259.2,44.99999999999997,122.4127027400662,20.25345063442383,3.793917697806848,0.0,11.935799786321697,0.0,0.0,0.0
Quinidine,1,-90.74563,30.665530171377494,368.7,440.1,71.40000000000003,121.4111601713775,76.88311688311688,11.395497984993169,20.90061702485587,0.0,2.94724113150103,2.1871513139803835,44.69483766454745
Sotalol,1,-90.747040235002,32.254509988051794,197.60000000000002,239.5,41.89999999999998,123.0015502230538,5.425614290189681,0.86661461377161,0.0,2.930209989337726,1.6415137192205,0.2159967073279676,0.43485485694875914
Sparfloxacin,1,-90.74768562228195,32.41041172842253,198.8,241.0,42.19999999999999,123.15809735070448,6.139192101786831,0.05643495950807634,0.0,1.9499591458163108,0.0,0.0,0.0
Tedisamil,1,-90.74737691475615,32.34729317903425,197.20000000000002,238.8,41.599999999999994,123.0946700937904,3.8704535900776147,0.4232013940751805,0.0,0.0,0.027166645085570377,0.0,0.0
Terfenadine,1,-90.74821844256212,32.43608049663963,195.4,237.10000000000002,41.70000000000002,123.18429893920175,4.225352112676056,0.14230302658275296,0.9704290982319637,3.2932139110480967,0.44798407167745147,0.0,4.490326438911671
Terodiline,1,-90.74873931405368,32.26723447845838,193.9,235.20000000000002,41.30000000000001,123.01597379251206,2.642862438687796,0.7868588384289451,0.0,2.834269558902812,0.5237058145792475,0.0,0.0
Thioridazine,1,-90.75788052548856,23.975886020631258,409.2,471.9,62.69999999999999,114.73376654611982,85.15307603216966,34.852260590957634,0.0,42.58373205741627,11.546172897747375,0.0,0.0
Vandetanib,1,-90.74563,32.44153683728177,223.20000000000002,268.6,45.400000000000006,123.18716683728178,21.56862745098039,0.0,0.0,0.0,0.0,0.0,0.0
Pimozide,1,-90.74796141610341,32.41506021367844,192.70000000000002,233.70000000000002,41.0,123.16302162978184,0.3997443942094718,0.0739315205551648,0.0,0.0262371602628558,0.006399590426212722,0.0,0.0
