smiles,IC50_nM
Br.CN(C)c1ccc(/N=N/c2ccccn2)c(O)c1,240.0
Brc1cc(Br)cc([C@H]2C[C@@H](CN3CCCC3)N2Cc2ccccc2Br)c1,25000.0
Brc1cc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)ccc1C#N,560.0
Brc1ccc(CN2CCn3c(nc4cccc(Br)c34)C2=O)cc1,4000.0
Brc1ccc(CNC(=O)C2N(CCc3ccccn3)C(=O)c3ccccc23)cc1,9300.0
Brc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(C3)C3CC3)CC2)cc1,7100.0
Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1,7900.0
Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc43)cc2)cc1,5100.0
Brc1ccc(Oc2ccc(\C=C3/SC(=O)N(C3=O)c3ccc(OCCCCN4CCN(CC5CC5)CC4)cc3)cc2)cc1,27500.0
Brc1ccc(cc1)-c1nc2ccc(Br)cn2n1,10000.0
Brc1ccc(cc1)N(C1CCN(CC1)C1CCCC1)C(=O)NCc1ccccc1,178.0
Brc1ccc(cc1)N(C1CCN(CC1)C1CCCC1)C(=O)Nc1ccccc1,188.0
Brc1ccc(cc1)N(C1CCN(Cc2ccncc2)CC1)C(=O)NCc1ccccc1,2310.0
Brc1ccc(cc1)N(C1CCN(Cc2ccnnc2)CC1)C(=O)NCc1ccccc1,13800.0
Brc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc3ccc4OCC(=O)Nc4n3)c2c1,2800.0
Brc1ccc2Oc3cc(Cn4cncc4CN[C@@H]4CCN(Cc1c2)C4=O)ccc3C#N,4600.0
Brc1ccc2[nH]c3C(CCCc3c2c1)Nc1ccccc1,30000.0
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12,2500.0
Brc1ccc2c(c1)oc(cc2=O)C(=O)NC1CCN(Cc2ccc3OCOc3c2)CC1,2.5
Brc1cccc2nc(C#Cc3ccccn3)ccc12,22700.0
Brc1cccc2nc(ccc12)C#Cc1ccccn1,22700.0
Brc1cccc2nc3C(=O)N(CC4CC4)CCn3c12,30000.0
Brc1cccc2nc3C(=O)N(CC4CCC4)CCn3c12,30000.0
Brc1cccc2nc3C(=O)N(Cc4ccccc4)CCn3c12,15000.0
Brc1ccccc1C(=O)c1ccc(OCC(=O)Nc2cccnc2)cc1,36.0
Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1,2300.0
Brc1cnc2nc(oc2c1)N1CCN2CCC1CC2,2300.0
Brc1cncc(COCC2(CCNCC2)c2ccccc2)c1,15000.0
Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,15000.0
Brc1cncc(c1)C(=O)N1CC[C@H](NCc2cncn2Cc2ccc(cc2)C#N)C1=O,6012.8
C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12,31000.0
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,6900.0
C#Cc1cnc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)cc1NC,8000.0
C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NC[C@@H]1CNCCO1,8200.0
